site,category,elev_m,below_treeline,canopy_tau,daily_load_wh,worst_month,harvest_wh_per_w_median,panel_w,panel_feasible,battery_need_wh,battery_wh,battery_mah_3v7
lakes_hut,hut,1527.5,False,1.0,6.94,10,1.047,10,True,5.1,18.5,5000
madison_hut,hut,1465.0,False,1.0,6.94,10,1.031,10,True,5.9,18.5,5000
mizpah_hut,hut,1162.5,False,1.0,6.94,10,1.077,10,True,4.9,18.5,5000
grayknob_cabin,hut,1499.8,False,1.0,6.94,10,1.035,10,True,5.7,18.5,5000
hermit_lake,shelter,1165.5,False,1.0,6.94,10,0.998,10,True,5.3,18.5,5000
crag_camp,shelter,1551.9,False,1.0,6.94,10,1.081,10,True,4.9,18.5,5000
ammo_relay,ridge,1200.7,False,1.0,6.94,10,0.981,10,True,6.6,18.5,5000
jewell_relay,ridge,1197.4,False,1.0,6.94,10,1.095,10,True,4.2,18.5,5000
clay_relay,ridge,1506.8,False,1.0,6.94,10,1.042,10,True,5.5,18.5,5000
monroe_flank,ridge,1620.7,False,1.0,6.94,10,1.059,10,True,6.3,18.5,5000
lion_head,ridge,1551.6,False,1.0,6.94,10,1.011,10,True,5.3,18.5,5000
jefferson_lawn,ridge,1696.1,False,1.0,6.94,10,1.132,10,True,5.8,18.5,5000
thunderstorm_jct,ridge,1738.1,False,1.0,6.94,10,1.151,10,True,4.2,18.5,5000
eisenhower_relay,ridge,1438.6,False,1.0,6.94,10,1.133,10,True,5.3,18.5,5000
nelson_crag,ridge,1784.5,False,1.0,6.94,10,1.118,10,True,4.9,18.5,5000
jackson_summit,ridge,1211.3,False,1.0,6.94,10,1.098,10,True,4.8,18.5,5000
cog_skyline,valley,1118.4,False,1.0,6.94,10,1.102,10,True,5.2,18.5,5000
madison_summit,ridge,1613.2,False,1.0,6.94,10,1.122,10,True,5.7,18.5,5000
boott_spur,ridge,1496.0,False,1.0,6.94,10,0.898,15,True,2.6,18.5,5000
carter_notch_hut,hut,1011.0,True,0.15,6.94,10,0.161,50,False,8.0,18.5,5000
dolly_copp,shelter,925.5,True,0.15,6.94,10,0.16,50,False,8.2,18.5,5000
pierce_relay,ridge,1025.8,True,0.15,6.94,10,0.167,50,False,7.1,18.5,5000
wildcat_d,ridge,952.9,True,0.15,6.94,10,0.16,50,False,8.4,18.5,5000
appalachia_th,valley,395.6,True,0.15,6.94,10,0.169,50,False,8.8,18.5,5000
caps_ridge_th,valley,907.0,True,0.15,6.94,10,0.167,50,False,7.5,18.5,5000
glen_ellis,valley,579.0,True,0.15,6.94,10,0.157,50,False,7.8,18.5,5000
great_gulf_th,valley,889.0,True,0.15,6.94,10,0.161,50,False,8.1,18.5,5000
glen_house,valley,491.2,True,0.15,6.94,10,0.153,50,False,8.5,18.5,5000
webster_cliff,ridge,1078.2,True,0.15,6.94,10,0.161,50,False,8.9,18.5,5000
wildcat_a,ridge,831.2,True,0.15,6.94,10,0.157,50,False,9.6,18.5,5000
durand_ridge,ridge,1090.9,True,0.15,6.94,10,0.17,50,False,6.6,18.5,5000
