site,category,elev_m,below_treeline,canopy_tau,daily_load_wh,worst_month,harvest_wh_per_w_median,panel_w,panel_feasible,battery_need_wh,battery_wh,battery_mah_3v7
lakes_hut,hut,1525.3,False,1.0,6.94,10,1.047,10,True,5.1,18.5,5000
madison_hut,hut,1471.2,False,1.0,6.94,10,1.042,10,True,5.8,18.5,5000
mizpah_hut,hut,1161.3,False,1.0,6.94,10,1.077,10,True,4.9,18.5,5000
grayknob_cabin,hut,1499.5,False,1.0,6.94,10,1.041,10,True,5.7,18.5,5000
hermit_lake,shelter,1165.0,False,1.0,6.94,10,0.998,10,True,5.3,18.5,5000
crag_camp,shelter,1549.0,False,1.0,6.94,10,1.106,10,True,4.9,18.5,5000
ammo_relay,ridge,1196.4,False,1.0,6.94,10,0.981,10,True,6.6,18.5,5000
jewell_relay,ridge,1188.6,False,1.0,6.94,10,1.081,10,True,4.3,18.5,5000
clay_relay,ridge,1505.8,False,1.0,6.94,10,1.042,10,True,5.5,18.5,5000
monroe_flank,ridge,1612.5,False,1.0,6.94,10,1.059,10,True,6.3,18.5,5000
lion_head,ridge,1552.5,False,1.0,6.94,10,1.019,10,True,5.3,18.5,5000
boott_spur,ridge,1512.1,False,1.0,6.94,10,0.919,10,True,6.4,18.5,5000
jefferson_lawn,ridge,1694.1,False,1.0,6.94,10,1.132,10,True,5.8,18.5,5000
thunderstorm_jct,ridge,1727.3,False,1.0,6.94,10,1.151,10,True,4.2,18.5,5000
eisenhower_relay,ridge,1433.4,False,1.0,6.94,10,1.133,10,True,5.3,18.5,5000
nelson_crag,ridge,1786.8,False,1.0,6.94,10,1.118,10,True,4.9,18.5,5000
jackson_summit,ridge,1216.6,False,1.0,6.94,10,1.098,10,True,4.8,18.5,5000
cog_skyline,valley,1115.5,False,1.0,6.94,10,1.102,10,True,5.2,18.5,5000
madison_summit,ridge,1605.8,False,1.0,6.94,10,1.122,10,True,5.7,18.5,5000
greenleaf_hut,hut,1271.1,False,1.0,6.94,10,1.111,10,True,5.2,18.5,5000
lafayette_summit,ridge,1585.8,False,1.0,6.94,10,1.136,10,True,5.8,18.5,5000
little_haystack,ridge,1372.7,False,1.0,6.94,10,1.045,10,True,5.6,18.5,5000
liberty_summit,ridge,1288.8,False,1.0,6.94,10,1.088,10,True,4.6,18.5,5000
kinsman_n,ridge,1226.4,False,1.0,6.94,10,1.133,10,True,4.9,18.5,5000
garfield_summit,ridge,1335.2,False,1.0,6.94,10,1.072,10,True,5.1,18.5,5000
galehead_hut,hut,1141.8,False,1.0,6.94,10,1.056,10,True,5.6,18.5,5000
south_twin,ridge,1468.8,False,1.0,6.94,10,1.082,10,True,4.2,18.5,5000
guyot_summit,ridge,1248.2,False,1.0,6.94,10,1.061,10,True,6.0,18.5,5000
bondcliff,ridge,1161.9,False,1.0,6.94,10,0.975,10,True,6.0,18.5,5000
carrigain_summit,ridge,1401.7,False,1.0,6.94,10,1.097,10,True,5.6,18.5,5000
whiteface_summit,ridge,1142.4,False,1.0,6.94,10,1.076,10,True,5.4,18.5,5000
passaconaway,ridge,1221.3,False,1.0,6.94,10,1.106,10,True,5.4,18.5,5000
moosilauke_summit,ridge,1453.1,False,1.0,6.94,10,1.095,10,True,5.2,18.5,5000
carter_dome,ridge,1457.0,False,1.0,6.94,10,1.099,10,True,6.0,18.5,5000
imp_shelter,shelter,1155.1,False,1.0,6.94,10,1.126,10,True,4.9,18.5,5000
moriah_summit,ridge,1158.1,False,1.0,6.94,10,1.043,10,True,5.4,18.5,5000
cabot_summit,ridge,1198.7,False,1.0,6.94,10,1.089,10,True,5.5,18.5,5000
pulpit_rock,ridge,1132.9,False,1.0,6.94,10,0.931,10,True,5.6,18.5,5000
blue_ridge_ledge,ridge,1233.6,False,1.0,6.94,10,1.095,10,True,4.8,18.5,5000
the_horn,ridge,1128.5,False,1.0,6.94,10,1.012,10,True,5.5,18.5,5000
moosilauke_s_peak,ridge,1382.0,False,1.0,6.94,10,1.145,10,True,4.8,18.5,5000
signal_ridge,ridge,1194.9,False,1.0,6.94,10,1.048,10,True,6.3,18.5,5000
mt_hight,ridge,1269.3,False,1.0,6.94,10,0.965,10,True,5.3,18.5,5000
south_carter,ridge,1196.4,False,1.0,6.94,10,0.907,10,True,6.8,18.5,5000
mt_hale,ridge,1145.7,False,1.0,6.94,10,1.073,10,True,6.2,18.5,5000
carter_notch_hut,hut,1014.4,True,0.15,6.94,10,0.161,50,False,8.0,18.5,5000
dolly_copp,shelter,931.2,True,0.15,6.94,10,0.16,50,False,8.2,18.5,5000
pierce_relay,ridge,1021.2,True,0.15,6.94,10,0.167,50,False,7.1,18.5,5000
wildcat_d,ridge,951.8,True,0.15,6.94,10,0.16,50,False,8.4,18.5,5000
appalachia_th,valley,397.1,True,0.15,6.94,10,0.169,50,False,8.8,18.5,5000
caps_ridge_th,valley,907.9,True,0.15,6.94,10,0.167,50,False,7.5,18.5,5000
glen_ellis,valley,581.8,True,0.15,6.94,10,0.157,50,False,7.8,18.5,5000
great_gulf_th,valley,888.1,True,0.15,6.94,10,0.161,50,False,8.1,18.5,5000
glen_house,valley,492.1,True,0.15,6.94,10,0.153,50,False,8.5,18.5,5000
webster_cliff,ridge,1079.2,True,0.15,6.94,10,0.161,50,False,8.9,18.5,5000
wildcat_a,ridge,828.2,True,0.15,6.94,10,0.157,50,False,9.6,18.5,5000
durand_ridge,ridge,1085.8,True,0.15,6.94,10,0.169,50,False,6.6,18.5,5000
lonesome_lake_hut,hut,839.4,True,0.15,6.94,10,0.162,50,False,8.4,18.5,5000
kinsman_pond,shelter,987.5,True,0.15,6.94,10,0.162,50,False,7.3,18.5,5000
zealand_hut,hut,792.6,True,0.15,6.94,10,0.162,50,False,8.1,18.5,5000
zeacliff,ridge,786.3,True,0.15,6.94,10,0.154,50,False,8.9,18.5,5000
hancock_th,valley,636.1,True,0.15,6.94,10,0.157,50,False,8.5,18.5,5000
willey_summit,ridge,843.4,True,0.15,6.94,10,0.175,50,False,8.4,18.5,5000
sawyer_river_th,valley,654.2,True,0.15,6.94,10,0.163,50,False,8.9,18.5,5000
kanc_pass,valley,498.6,True,0.15,6.94,10,0.169,50,False,7.4,18.5,5000
osceola_summit,ridge,676.2,True,0.15,6.94,10,0.165,50,False,8.1,18.5,5000
greeley_ponds,shelter,755.6,True,0.15,6.94,10,0.148,50,False,9.0,18.5,5000
tripyramid_n,ridge,1024.8,True,0.15,6.94,10,0.154,50,False,8.3,18.5,5000
sandwich_dome,ridge,525.6,True,0.15,6.94,10,0.168,50,False,8.3,18.5,5000
ferncroft_th,valley,364.8,True,0.15,6.94,10,0.17,50,False,7.8,18.5,5000
welch_dickey_th,valley,315.8,True,0.15,6.94,10,0.162,50,False,8.2,18.5,5000
chocorua_summit,ridge,891.8,True,0.15,6.94,10,0.16,50,False,7.7,18.5,5000
piper_th,valley,784.6,True,0.15,6.94,10,0.166,50,False,8.1,18.5,5000
kinsman_notch,valley,571.6,True,0.15,6.94,10,0.155,50,False,8.5,18.5,5000
glencliff_th,valley,360.3,True,0.15,6.94,10,0.161,50,False,7.8,18.5,5000
baldface_s,ridge,868.6,True,0.15,6.94,10,0.163,50,False,7.9,18.5,5000
mt_hayes,ridge,423.0,True,0.15,6.94,10,0.169,50,False,7.7,18.5,5000
gentian_pond,shelter,375.6,True,0.15,6.94,10,0.165,50,False,7.7,18.5,5000
success_summit,ridge,1084.9,True,0.15,6.94,10,0.171,50,False,7.7,18.5,5000
unknown_pond,shelter,850.1,True,0.15,6.94,10,0.167,50,False,7.3,18.5,5000
percy_peaks,ridge,625.1,True,0.15,6.94,10,0.163,50,False,8.4,18.5,5000
nash_stream_th,valley,641.0,True,0.15,6.94,10,0.154,50,False,8.2,18.5,5000
waumbek_summit,ridge,812.7,True,0.15,6.94,10,0.155,50,False,9.1,18.5,5000
cherry_mtn,ridge,444.1,True,0.15,6.94,10,0.159,50,False,8.9,18.5,5000
cardigan_summit,ridge,942.7,True,0.15,6.94,10,0.159,50,False,8.6,18.5,5000
ragged_mtn,ridge,342.5,True,0.15,6.94,10,0.168,50,False,7.8,18.5,5000
major_summit,ridge,390.0,True,0.15,6.94,10,0.172,50,False,7.0,18.5,5000
shaw_summit,ridge,561.2,True,0.15,6.94,10,0.161,50,False,8.4,18.5,5000
monadnock_summit,ridge,952.3,True,0.15,6.94,10,0.178,50,False,7.7,18.5,5000
dublin_th,valley,404.7,True,0.15,6.94,10,0.168,50,False,8.8,18.5,5000
pack_monadnock,ridge,682.1,True,0.15,6.94,10,0.167,50,False,8.2,18.5,5000
smarts_mtn,ridge,936.1,True,0.15,6.94,10,0.162,50,False,8.4,18.5,5000
lyme_dorchester_th,valley,439.8,True,0.15,6.94,10,0.162,50,False,8.3,18.5,5000
kearsarge_summit,ridge,885.3,True,0.15,6.94,10,0.183,50,True,6.8,18.5,5000
kearsarge_north,ridge,509.8,True,0.15,6.94,10,0.17,50,False,7.2,18.5,5000
pawtuckaway_tower,ridge,98.6,True,0.15,6.94,10,0.167,50,False,8.4,18.5,5000
pisgah_ridge,ridge,260.4,True,0.15,6.94,10,0.159,50,False,8.2,18.5,5000
table_rock,ridge,612.2,True,0.15,6.94,10,0.151,50,False,8.9,18.5,5000
magalloway_tower,gateway,689.0,True,0.15,6.94,10,0.154,50,False,9.3,18.5,5000
tremont_summit,ridge,838.8,True,0.15,6.94,10,0.165,50,False,7.8,18.5,5000
noon_peak,ridge,675.3,True,0.15,6.94,10,0.152,50,False,8.6,18.5,5000
dickey_ledges,ridge,510.4,True,0.15,6.94,10,0.173,50,False,7.2,18.5,5000
north_carter,ridge,1001.5,True,0.15,6.94,10,0.167,50,False,8.5,18.5,5000
victor_head,ridge,383.5,True,0.15,6.94,10,0.166,50,False,7.7,18.5,5000
holts_ledge,ridge,347.3,True,0.15,6.94,10,0.17,50,False,7.2,18.5,5000
belknap_summit,ridge,282.9,True,0.15,6.94,10,0.167,50,False,8.0,18.5,5000
kilkenny_lookout,ridge,860.5,True,0.15,6.94,10,0.166,50,False,8.7,18.5,5000
piper_mtn_belknap,ridge,288.8,True,0.15,6.94,10,0.164,50,False,8.1,18.5,5000
jennings_peak,ridge,924.3,True,0.15,6.94,10,0.171,50,False,7.2,18.5,5000
welch_ledges,ridge,358.0,True,0.15,6.94,10,0.162,50,False,8.4,18.5,5000
the_bulge,ridge,1054.3,True,0.15,6.94,10,0.154,50,False,8.8,18.5,5000
turtleback_mtn,ridge,729.8,True,0.15,6.94,10,0.165,50,False,7.0,18.5,5000
lambert_ridge,ridge,684.3,True,0.15,6.94,10,0.169,50,False,8.0,18.5,5000
black_cap,ridge,471.0,True,0.15,6.94,10,0.157,50,False,8.7,18.5,5000
middle_carter,ridge,951.0,True,0.15,6.94,10,0.157,50,False,8.1,18.5,5000
zeta_pass,ridge,935.2,True,0.15,6.94,10,0.154,50,False,8.5,18.5,5000
smarts_ranger_ledge,ridge,652.1,True,0.15,6.94,10,0.163,50,False,8.3,18.5,5000
hurricane_col,ridge,530.8,True,0.15,6.94,10,0.159,50,False,8.4,18.5,5000
cranmore_ledge,ridge,419.3,True,0.15,6.94,10,0.165,50,False,8.0,18.5,5000
bald_knob_ossipee,ridge,603.7,True,0.15,6.94,10,0.159,50,False,8.9,18.5,5000
mt_roberts,ridge,766.4,True,0.15,6.94,10,0.171,50,False,8.2,18.5,5000
faraway_ledge,ridge,584.1,True,0.15,6.94,10,0.16,50,False,8.4,18.5,5000
ossipee_saddle,ridge,476.3,True,0.15,6.94,10,0.169,50,False,7.4,18.5,5000
black_snout,ridge,588.6,True,0.15,6.94,10,0.165,50,False,8.7,18.5,5000
morgan_percival,ridge,266.2,True,0.15,6.94,10,0.173,50,False,7.4,18.5,5000
rattlesnake_west,ridge,174.9,True,0.15,6.94,10,0.172,50,False,7.2,18.5,5000
red_hill_tower,ridge,435.8,True,0.15,6.94,10,0.17,50,False,7.4,18.5,5000
stinson_summit,ridge,700.2,True,0.15,6.94,10,0.164,50,False,8.6,18.5,5000
rattlesnake_rumney,ridge,152.0,True,0.15,6.94,10,0.174,50,False,7.2,18.5,5000
rumney_cliff_top,ridge,286.3,True,0.15,6.94,10,0.169,50,False,7.7,18.5,5000
owls_head_slide,portable,701.3,True,0.15,6.94,10,0.162,50,False,8.3,18.5,5000
thirteen_falls,portable,780.8,True,0.15,6.94,10,0.151,50,False,9.8,18.5,5000
sugarloaf_middle,ridge,600.6,True,0.15,6.94,10,0.16,50,False,8.3,18.5,5000
isolation_davis,portable,1014.6,True,0.15,6.94,10,0.17,50,False,8.2,18.5,5000
wild_river_blue_brook,portable,566.8,True,0.15,6.94,10,0.159,50,False,8.6,18.5,5000
north_baldface,ridge,741.6,True,0.15,6.94,10,0.159,50,False,8.1,18.5,5000
doublehead_n,ridge,499.8,True,0.15,6.94,10,0.162,50,False,7.5,18.5,5000
iron_mtn,ridge,290.3,True,0.15,6.94,10,0.166,50,False,7.6,18.5,5000
mt_cube,ridge,681.8,True,0.15,6.94,10,0.167,50,False,7.0,18.5,5000
