pdr_hiker,extra_hikers,beacon_interval_s,hop_limit,n_nodes,packets_originated,pdr,channel_utilization,collision_fraction,sos_delivered,sos_latency_s,sweep
1.0,0,300,3,9,215,0.8744,0.02666,0.1033,0,,load
1.0,0,120,3,9,324,0.8858,0.04028,0.1175,0,,load
1.0,0,60,3,9,499,0.9539,0.06694,0.1084,0,,load
1.0,0,30,3,9,846,0.9586,0.11648,0.1155,0,,load
1.0,5,300,3,14,573,0.9529,0.07879,0.1383,0,,load
1.0,5,120,3,14,1217,0.9737,0.17055,0.1624,0,,load
0.9995,5,60,3,14,2284,0.9812,0.32174,0.1861,0,,load
0.999,5,30,3,14,4342,0.9862,0.63153,0.215,0,,load
1.0,10,300,3,19,936,0.9679,0.1303,0.16,0,,load
0.9995,10,120,3,19,2110,0.9848,0.30008,0.196,0,,load
0.9977,10,60,3,19,4043,0.9842,0.59237,0.2471,0,,load
0.9951,10,30,3,19,7741,0.9868,1.18276,0.3226,0,,load
0.9993,20,300,3,29,1655,0.9795,0.23387,0.1825,0,,load
0.9976,20,120,3,29,3904,0.9872,0.57727,0.2587,0,,load
0.9778,20,60,3,29,7522,0.9692,1.13907,0.3524,0,,load
0.8269,20,30,3,29,13957,0.8213,1.87233,0.4995,0,,load
0.999,40,300,3,49,3083,0.9848,0.44822,0.2419,0,,load
0.9653,40,120,3,49,7429,0.9575,1.10868,0.3614,0,,load
0.809,40,60,3,49,14206,0.8041,1.85371,0.5049,0,,load
0.5464,40,30,3,49,26250,0.5447,2.2827,0.5991,0,,load
0.9827,20,60,1,29,7527,0.9741,0.95785,0.3363,0,,hop_limit
0.9754,20,60,2,29,7528,0.9664,1.10063,0.3519,0,,hop_limit
0.9778,20,60,3,29,7522,0.9692,1.13907,0.3524,0,,hop_limit
0.9755,20,60,5,29,7529,0.9675,1.13099,0.3497,0,,hop_limit
0.9755,20,60,7,29,7529,0.9675,1.13099,0.3497,0,,hop_limit
