timestamp_utc,lat,lon,best_relay,distance_km,path_type,geometric_los,worst_fresnel_fraction,pred_rssi_dbm_q90,meets_planning_threshold,meets_sensitivity
2026-05-23T13:36:01+00:00,44.26750162616372,-71.32697934284806,ammo_relay,0.316,line_of_sight,True,1.888,-55.6,True,True
2026-05-23T13:38:05+00:00,44.267508666962385,-71.32688839919865,ammo_relay,0.31,line_of_sight,True,1.21,-56.7,True,True
2026-05-23T13:40:02+00:00,44.26756205968559,-71.32676795125008,ammo_relay,0.305,line_of_sight,True,0.196,-61.0,True,True
2026-05-23T13:42:02+00:00,44.267645543441176,-71.32652571424842,ammo_relay,0.293,line_of_sight,True,0.558,-56.3,True,True
2026-05-23T13:44:00+00:00,44.26744731143117,-71.32599891163409,ammo_relay,0.246,line_of_sight,True,0.935,-55.1,True,True
2026-05-23T13:46:01+00:00,44.26741546019912,-71.32558325305581,ammo_relay,0.218,line_of_sight,True,0.961,-52.8,True,True
2026-05-23T13:48:01+00:00,44.26742476411164,-71.32543011568487,ammo_relay,0.21,line_of_sight,True,1.121,-51.8,True,True
2026-05-23T13:50:00+00:00,44.26732761785388,-71.324891326949,ammo_relay,0.172,line_of_sight,True,1.057,-50.1,True,True
2026-05-23T13:52:02+00:00,44.26691480912268,-71.32458220236003,ammo_relay,0.121,line_of_sight,True,1.147,-47.1,True,True
2026-05-23T13:54:00+00:00,44.26660434342921,-71.324333678931,ammo_relay,0.084,line_of_sight,True,0.581,-43.9,True,True
2026-05-23T13:56:01+00:00,44.266481548547745,-71.32411901839077,ammo_relay,0.062,line_of_sight,True,0.949,-41.3,True,True
2026-05-23T13:58:00+00:00,44.266400998458266,-71.3237844966352,ammo_relay,0.036,line_of_sight,True,1.378,-36.5,True,True
2026-05-23T14:00:01+00:00,44.26622279919684,-71.32360990159214,ammo_relay,0.012,co_located,True,inf,26.3,True,True
2026-05-23T14:02:02+00:00,44.26621835678816,-71.32358483970165,ammo_relay,0.011,co_located,True,inf,26.3,True,True
2026-05-23T14:04:01+00:00,44.26621835678816,-71.32358483970165,ammo_relay,0.011,co_located,True,inf,26.3,True,True
