run,deaths,availability,pdr
cap148wh_12w_s42,4014,0.7993,0.8353
cap148wh_24w_s42,1551,0.9463,0.8317
cap148wh_6w_s42,6546,0.5718,0.8422
cap296wh_12w_s42,1776,0.8403,0.8341
cap296wh_24w_s42,235,0.9852,0.8311
cap74wh_12w_s42,9657,0.7786,0.8347
cap74wh_6w_s42,14856,0.5489,0.8419
rxma10_s42,27,0.9976,0.8305
rxma20_s42,2824,0.9058,0.8323
rxma2_s42,0,1.0,0.8315
rxma2_s43,0,1.0,0.8315
rxma2_s44,0,1.0,0.8315
rxma40_s42,13647,0.7239,0.8355
rxma5_s42,0,1.0,0.831
rxma5_s43,0,1.0,0.8312
rxma5_s44,0,1.0,0.8311
rxma68_s42,29175,0.5352,0.8428
