link,distance_km,path_type,pred_rssi_dbm_q50,pred_rssi_dbm_q90,worst_fresnel_fraction,usable_q90,planning_ok_q90,planning_evidence_eligible,policy_rssi_dbm_q50,policy_rssi_dbm_q90,diagnostic_itm_rssi_dbm_q50,diagnostic_itm_rssi_dbm_q90
imp_shelter<->north_carter,0.42,line_of_sight,-59.7,-59.7,0.86,True,True,True,,,,
south_carter<->zeta_pass,0.58,line_of_sight,-60.7,-60.7,3.07,True,True,True,,,,
deer_mtn_pittsburg<->deer_mtn_cg,0.68,line_of_sight,-62.4,-62.4,1.26,True,True,True,,,,
hermit_lake<->boott_spur,0.83,line_of_sight,-63.7,-63.7,2.35,True,True,True,,,,
mt_cube<->cube_s_ledge,0.84,line_of_sight,-63.9,-63.9,1.21,True,True,True,,,,
sawyer_river_th<->tremont_summit,0.85,line_of_sight,-64.0,-64.0,1.99,True,True,True,,,,
cranmore_top<->cranmore_ledge,0.98,line_of_sight,-65.2,-65.2,1.51,True,True,True,,,,
zealand_hut<->zeacliff,0.81,line_of_sight,-65.5,-65.5,1.0,True,True,True,,,,
gunstock_top<->major_summit,0.63,line_of_sight,-65.8,-65.8,1.0,True,True,True,,,,
lambert_ridge<->smarts_ranger_ledge,1.11,line_of_sight,-66.3,-66.3,2.83,True,True,True,,,,
iron_mtn<->iron_s_ledge,1.07,line_of_sight,-66.9,-66.9,1.16,True,True,True,,,,
attitash_base<->rocky_branch_knoll,1.23,line_of_sight,-67.2,-67.2,2.46,True,True,True,,,,
kearsarge_north<->hurricane_col,0.7,line_of_sight,-67.8,-67.8,0.8,True,True,True,,,,
baldface_s<->north_baldface,1.36,line_of_sight,-68.1,-68.1,4.33,True,True,True,,,,
lion_head<->nelson_crag,1.13,line_of_sight,-68.5,-68.5,0.68,True,True,True,,,,
crag_camp<->thunderstorm_jct,1.33,line_of_sight,-68.6,-68.6,0.93,True,True,True,,,,
clay_relay<->jefferson_lawn,1.44,line_of_sight,-68.6,-68.6,2.75,True,True,True,,,,
south_carter<->middle_carter,1.55,line_of_sight,-69.2,-69.2,0.59,True,True,True,,,,
victor_head<->stark_village,1.75,line_of_sight,-70.2,-70.2,1.12,True,True,True,,,,
mizpah_hut<->jackson_summit,1.8,line_of_sight,-70.5,-70.5,3.22,True,True,True,,,,
mt_roberts<->faraway_ledge,1.34,line_of_sight,-70.6,-70.6,0.66,True,True,True,,,,
mt_cube<->mt_cube_farm,1.96,line_of_sight,-71.2,-71.2,2.35,True,True,True,,,,
gateway_marshfield<->cog_skyline,2.12,line_of_sight,-71.9,-71.9,1.18,True,True,True,,,,
jewell_relay<->caps_ridge_th,2.11,line_of_sight,-71.9,-71.9,1.35,True,True,True,,,,
cannon_tram_top<->lafayette_place,2.15,line_of_sight,-72.0,-72.0,0.04,True,True,True,,,,
pinkham_notch_vc<->wildcat_d,2.17,line_of_sight,-72.1,-72.1,1.14,True,True,True,,,,
summit_shermanadams<->monroe_flank,2.2,line_of_sight,-72.2,-72.2,0.11,True,True,True,,,,
lonesome_lake_hut<->kinsman_pond,2.34,line_of_sight,-72.8,-72.8,0.92,True,True,True,,,,
lion_head<->boott_spur,1.07,line_of_sight,-73.0,-73.0,0.33,True,True,True,,,,
cardigan_lodge<->cardigan_summit,2.43,line_of_sight,-73.1,-73.1,0.27,True,True,True,,,,
pisgah_ridge<->pisgah_w_knoll,1.03,line_of_sight,-73.1,-73.1,0.63,True,True,True,,,,
gateway_marshfield<->jewell_relay,2.59,line_of_sight,-73.7,-73.7,0.84,True,True,True,,,,
pack_monadnock<->temple_mtn_ledges,2.6,line_of_sight,-73.7,-73.7,2.05,True,True,True,,,,
jewell_relay<->jefferson_lawn,2.63,line_of_sight,-73.8,-73.8,1.92,True,True,True,,,,
highland_center<->webster_cliff,2.76,line_of_sight,-74.2,-74.2,2.4,True,True,True,,,,
lafayette_place<->little_haystack,2.88,line_of_sight,-74.6,-74.6,1.24,True,True,True,,,,
clay_relay<->caps_ridge_th,2.91,line_of_sight,-74.7,-74.7,1.95,True,True,True,,,,
bear_brook_hq<->bear_brook_tower,2.36,line_of_sight,-74.8,-74.8,0.67,True,True,True,,,,
mt_cube_farm<->cube_s_ledge,1.12,line_of_sight,-74.9,-74.9,0.5,True,True,True,,,,
gateway_marshfield<->eisenhower_relay,3.05,line_of_sight,-75.1,-75.1,0.64,True,True,True,,,,
cannon_tram_top<->greenleaf_hut,3.1,line_of_sight,-75.2,-75.2,0.09,True,True,True,,,,
castle_clouds<->bald_knob_ossipee,1.08,line_of_sight,-75.4,-75.4,0.59,True,True,True,,,,
garfield_summit<->galehead_hut,3.33,line_of_sight,-75.8,-75.8,0.25,True,True,True,,,,
faxon_hill<->greenway_mid,1.27,line_of_sight,-76.0,-76.0,0.16,True,True,True,,,,
gateway_marshfield<->lakes_hut,3.41,line_of_sight,-76.0,-76.1,0.12,True,True,True,,,,
flume_vc<->liberty_summit,3.63,line_of_sight,-76.6,-76.6,3.41,True,True,True,,,,
nash_stream_th<->stark_village,3.72,line_of_sight,-76.8,-76.8,2.22,True,True,True,,,,
great_gulf_th<->glen_house,3.75,line_of_sight,-76.9,-76.9,2.68,True,True,True,,,,
