region_component,sites,gateways,solar_nodes,reaches_backhaul
summit_shermanadams,46,4,42,True
cannon_tram_top,24,4,20,True
waterville_valley,16,3,13,True
stark_village,9,1,8,True
castle_clouds,8,1,7,True
ravine_lodge,6,1,5,True
gorham_info,6,2,4,True
dartmouth_skiway,6,1,5,True
cranmore_top,5,1,4,True
gunstock_top,4,1,3,True
lincoln_woods_th,3,1,2,True
monadnock_hq,3,1,2,True
cardigan_lodge,2,1,1,True
ragged_ski_base,2,1,1,True
miller_hq,2,1,1,True
winslow_hq,2,1,1,True
pawtuckaway_hq,2,1,1,True
pisgah_hq,2,1,1,True
balsams_gateway,2,1,1,True
first_lake_dam,2,2,0,True
sunapee_summit,1,1,0,True
uncanoonuc_s,1,1,0,True
blue_job,1,1,0,True
pittsburg_village,1,1,0,True
magalloway_tower,1,1,1,True
newbury_station,1,1,0,True
